OBJECTID,Trail Segment Type,Location,Status,Structure ID,Material,Map Miles,Width (ft),Structure Type,Structure Tonnage,Trail Name,Owner,ADA,Shape__Length,Closure Status,Trailhead ID,GlobalID,AccessAddress,CouncilDistrict
685,SidewalkConnection,Gorman St Connector,Existing,NA,Concrete,0.150238574062231,6,Sidewalk,0,Rocky Branch Trail,COR,NO,793.259670854423,OPEN,337,54a9a06a-3b8e-442d-bac2-5f281af7f9bc,2606 Ligon St,D
686,SidewalkConnection,Gorman St Connector - # 129,Existing,129,Concrete,0.0308843311348782,6,Bridge,,Rocky Branch Trail,COR,NO,163.069268342662,OPEN,342,77e32af6-6315-4610-9610-6f0acced14fb,400 Gorman St,D
687,SidewalkConnection,Gorman St Connector,Existing,NA,Concrete,0.139119773636277,6,Sidewalk,0,Rocky Branch Trail,COR,NO,734.552404616767,OPEN,342,09f70b4b-f2cf-47d8-a5fc-b1943e155894,400 Gorman St,D
688,Structure,Reedy Creek Trail -  # 71,Existing,71,Wood Decking,0.01334956,10,Bridge,5,Reedy Creek Trail,COR,YES,70.4856709156938,OPEN,326,4400d5ab-b8a0-4ac2-a042-b13879064f88,3814 Hillsborough St,D
689,Structure,Reedy Creek Trail - # 2021,Existing,2021,Asphalt,0.03086977,10,Underpass,,Reedy Creek Trail,COR,YES,162.992403772997,OPEN,172,85983dad-ac9a-4962-baf8-617f62182f7a,1199 Ridge Rd,E
690,Trail,Reedy Creek Trail,Existing,NA,Asphalt,0.01086662,10,NA,0,Reedy Creek Trail,COR,YES,57.3757495116405,OPEN,172,02f0a5ee-0edf-4d6a-ad4f-855658099179,1199 Ridge Rd,E
691,Trail,House Creek Trail,Existing,NA,Asphalt,0.07300023,10,NA,0,House Creek Trail,COR,YES,385.180624036961,OPEN,175,2a2afbbc-a52b-4b30-b593-efdb9dc772e8,3503 Horton St,E
692,Structure,House Creek Trail - # 300,Existing,300,Wood Decking,0.03714498,11,Boardwalk,5,House Creek Trail,COR,YES,196.065224729498,OPEN,175,14e22a72-638e-4bef-8561-233db8e4272f,3503 Horton St,E
694,Trail,Loblolly Segment,Existing,NA,Natural,0.20433862,2,NA,0,Richland Creek Trail,Other,NO,1078.89984438112,OPEN,328,4d144278-9120-4cb0-9277-122c68a4b288,1310 Edwards Mill Rd,D
695,SidewalkConnection,Reedy Creek Trail,Existing,NA,Asphalt,0.609780107016611,10,Sidewalk,0,Reedy Creek Trail,COR,YES,3219.63896419323,OPEN,321,e955b3d5-457c-476e-80d6-ad32fe8ba2e4,1951 Blue Ridge Rd,D
696,Trail,Loblolly Segment,Existing,NA,Natural,0.54067533,4,NA,0,Richland Creek Trail,Other,NO,2854.76575143285,OPEN,330,692d23a4-a547-48aa-a199-359b27d3984b,5810 Reedy Creek Rd,D
697,Trail,Loblolly Segment,Existing,NA,Natural,1.56867244,4,NA,0,Richland Creek Trail,Other,NO,8282.59046265086,OPEN,331,2cc74f81-5e5c-4980-a991-37419e9edbb0,5851 Reedy Creek Rd,D
698,Structure,Loblolly Segment -  # 76,Existing,76,Wood Decking,0.00284078,0,Bridge,0,Richland Creek Trail,Other,NO,14.9993437631168,OPEN,330,6c9154bc-98d8-40cc-b788-ced753687e35,5810 Reedy Creek Rd,D
699,Trail,Reedy Creek Trail,Existing,NA,Asphalt,0.98614481,10,NA,0,Reedy Creek Trail,COR,YES,5206.82065793719,OPEN,322,1dc794ef-007d-42e3-a02d-9d6afa92ff5f,2001 Edwards Mill Rd,D
700,Trail,Loblolly Segment,Existing,NA,Natural,0.0228698,4,NA,0,Richland Creek Trail,Other,NO,120.752548399253,OPEN,330,617dc3fb-8cb9-4a3b-a365-43492f7ef144,5810 Reedy Creek Rd,D
701,Structure,Loblolly Segment -  # 77,Existing,77,Wood Decking,0.00227268,0,Bridge,0,Richland Creek Trail,Other,NO,11.9997691182079,OPEN,330,339fa7e5-4328-406e-98af-4e6f55c82e4a,5810 Reedy Creek Rd,D
702,Trail,Reedy Creek Trail,Existing,NA,Asphalt,0.09852362,10,NA,0,Reedy Creek Trail,COR,YES,520.11782136262,OPEN,327,fae55a92-399a-422b-8d60-fe6d5a8c00ec,5850 Reedy Creek Rd,D
703,Structure,Loblolly Segment -  # 78,Existing,78,Wood Decking,0.00227271,0,Bridge,0,Richland Creek Trail,Other,NO,11.9999274821495,OPEN,330,1a11fe80-3c8c-4063-b9ca-e28e35286283,5810 Reedy Creek Rd,D
